Id,Designator,Package,Quantity,Designation,Supplier and ref,,
1,U5,DIP-14_W7.62mm,1,74LS74,,,
2,"C25,C22,C24,C23,C1",C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal,5,.01uF 16v,,,
3,"U3,U2",DIP-20_W7.62mm,2,74LS244,,,
4,C4,C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal,1,.001uF 16v,,,
5,P10,10844152,1,10844152,,,
6,RN1,R_Array_SIP9,1,2.2k,,,
7,U1,DIP-14_W7.62mm,1,74LS393,,,
8,"R1,R2,R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,1k 1/2w,,,
9,C3,CP_Radial_D8.0mm_P2.50mm,1,10uF 25v,,,
10,P30,Molex_KK-396_5273-12A_1x12_P3.96mm_Vertical,1,Conn_01x12_Male,,,
11,U4,DIP-14_W7.62mm,1,74LS14,,,